12.3	1.Name	2.Nr	3.Release date	4.Price	5.ID	6.File Name	7.Limited
Aatrox	Original Aatrox	0	12-Jun-2013	975	1	Aatrox_0	
Aatrox	Justicar Aatrox	1	12-Jun-2013	975	2	Aatrox_1	
Aatrox	Mecha Aatrox	2	23-Jul-2014	1350	3	Aatrox_2	
Aatrox	Sea Hunter Aatrox	3	22-Jul-2015		4	Aatrox_3	
Aatrox	Blood Moon Aatrox	4	10-Jan-2019	1350	5	Aatrox_7	
Aatrox	Blood Moon Aatrox Prestige Edition	5	10-Jan-2019	special	6	Aatrox_8	
Aatrox	Victorious Aatrox	6	21-Nov-2019	special	7	Aatrox_9	
Aatrox	Odyssey Aatrox	7	15-Oct-2020	1350	8	Aatrox_11	
Ahri	Original Ahri	0	14-Dec-2011	880	9	Ahri_0	
Ahri	Dynasty Ahri	1	14-Dec-2011	975	10	Ahri_1	
Ahri	Midnight Ahri	2	14-Dec-2011	750	11	Ahri_2	
Ahri	Foxfire Ahri	3	11-Jul-2012	975	12	Ahri_3	
Ahri	Popstar Ahri	4	25-Nov-2013	975	13	Ahri_4	
Ahri	Challenger Ahri	5	15-Jan-2015	975	14	Ahri_5	yes
Ahri	Academy Ahri	6	26-Aug-2015	750	15	Ahri_6	
Ahri	Arcade Ahri	7	24-Aug-2016	1350	16	Ahri_7	
Ahri	Star Guardian Ahri	8	06-Sep-2017	1820	17	Ahri_14	
Ahri	K/DA Ahri	9	03-Nov-2018	1350	18	Ahri_15	
Ahri	K/DA Ahri Prestige Edition	10	07-Mar-2019	special	19	Ahri_16	
Ahri	Elderwood Ahri	11	29-Aug-2019	1350	20	Ahri_17	
Ahri	Spirit Blossom Ahri	12	06-Aug-2020	1820	21	Ahri_27	
Ahri	K/DA ALL OUT Ahri	13	29-Oct-2020	1350	22	Ahri_28	
Ahri	Coven Ahri	14	12-Aug-2021	1350	23	Ahri_42	
Akali	Original Akali	0	11-May-2010	790	24	Akali_0	
Akali	Infernal Akali	1	11-May-2010	520	25	Akali_1	
Akali	Stinger Akali	2	11-May-2010	520	26	Akali_2	
Akali	All-star Akali	3	24-Jun-2010	975	27	Akali_3	
Akali	Nurse Akali	4	04-Jan-2011	975	28	Akali_4	
Akali	Blood Moon Akali	5	07-Jun-2011	975	29	Akali_5	
Akali	Silverfang Akali	6	29-Nov-2011	975	30	Akali_6	
