12.11	1.Name	2.Nr	3.Release date	4.Price	5.ID	6.File Name	7.Limited
Aatrox	Original Aatrox	0	6/12/2013	975	1	Aatrox_0	
Aatrox	Justicar Aatrox	1	6/12/2013	975	2	Aatrox_1	
Aatrox	Mecha Aatrox	2	7/23/2014	1350	3	Aatrox_2	
Aatrox	Sea Hunter Aatrox	3	7/22/2015		4	Aatrox_3	
Aatrox	Blood Moon Aatrox	4	1/10/2019	1350	5	Aatrox_7	
Aatrox	Blood Moon Aatrox Prestige Edition	5	1/10/2019	special	6	Aatrox_8	
Aatrox	Victorious Aatrox	6	11/21/2019	special	7	Aatrox_9	
Aatrox	Odyssey Aatrox	7	10/15/2020	1350	8	Aatrox_11	
Ahri	Original Ahri	0	12/14/2011	880	9	Ahri_0	
Ahri	Dynasty Ahri	1	12/14/2011	975	10	Ahri_1	
Ahri	Midnight Ahri	2	12/14/2011	750	11	Ahri_2	
Ahri	Foxfire Ahri	3	7/11/2012	975	12	Ahri_3	
Ahri	Popstar Ahri	4	11/25/2013	975	13	Ahri_4	
Ahri	Challenger Ahri	5	1/15/2015	975	14	Ahri_5	yes
Ahri	Academy Ahri	6	8/26/2015	750	15	Ahri_6	
Ahri	Arcade Ahri	7	8/24/2016	1350	16	Ahri_7	
Ahri	Star Guardian Ahri	8	9/6/2017	1820	17	Ahri_14	
Ahri	K/DA Ahri	9	11/3/2018	1350	18	Ahri_15	
Ahri	K/DA Ahri Prestige Edition	10	3/7/2019	special	19	Ahri_16	
Ahri	Elderwood Ahri	11	8/29/2019	1350	20	Ahri_17	
Ahri	Spirit Blossom Ahri	12	8/6/2020	1820	21	Ahri_27	
Ahri	K/DA ALL OUT Ahri	13	10/29/2020	1350	22	Ahri_28	
Ahri	Coven Ahri	14	8/12/2021	1350	23	Ahri_42	
Akali	Original Akali	0	5/11/2010	790	24	Akali_0	
Akali	Infernal Akali	1	5/11/2010	520	25	Akali_1	
Akali	Stinger Akali	2	5/11/2010	520	26	Akali_2	
Akali	All-star Akali	3	6/24/2010	975	27	Akali_3	
Akali	Nurse Akali	4	1/4/2011	975	28	Akali_4	
Akali	Blood Moon Akali	5	6/7/2011	975	29	Akali_5	
Akali	Silverfang Akali	6	11/29/2011	975	30	Akali_6	
Akali	Headhunter Akali	7	3/23/2015	1350	31	Akali_7	
Akali	Sashimi Akali	8	9/7/2016	750	32	Akali_8	
Akali	K/DA Akali	9	11/3/2018	1350	33	Akali_9	
Akali	K/DA Akali Prestige Edition	10	12/6/2018	special	34	Akali_13	
Akali	PROJECT: Akali	11	8/1/2019	1350	35	Akali_14	
Akali	True Damage Akali	12	11/10/2019	1350	36	Akali_15	
Akali	K/DA ALL OUT Akali	13	10/29/2020	1350	37	Akali_32	
Akali	Crime City Nightmare Akali		8/26/2021	1350		Akali_50	
Akshan	Original Akshan	0	7/22/2021	975	39	Akshan_0	
Akshan	Cyber Pop Akshan	1	7/22/2021	1350	40	Akshan_1	
Alistar	Original Alistar	0	2/21/2009	585	41	Alistar_0	
Alistar	Black Alistar	1	6/13/2009	special	42	Alistar_1	
Alistar	Golden Alistar	2	1/13/2010	390	43	Alistar_2	
Alistar	Matador Alistar	3	5/11/2010	975	44	Alistar_3	
Alistar	Longhorn Alistar	4	2/16/2011	520	45	Alistar_4	
Alistar	Unchained Alistar	5	9/22/2011	special	46	Alistar_5	
Alistar	Infernal Alistar	6	7/13/2012	975	47	Alistar_6	
Alistar	Sweeper Alistar	7	6/18/2014	750	48	Alistar_7	
Alistar	Marauder Alistar	8	9/30/2015	750	49	Alistar_8	
Alistar	SKT T1 Alistar	9	8/17/2016	975	50	Alistar_9	yes
Alistar	Moo Cow Alistar	10	3/29/2017	975	51	Alistar_10	
Alistar	Hextech Alistar	11	3/26/2018	special	52	Alistar_19	
Alistar	Conqueror Alistar	12	4/30/2019	975	53	Alistar_20	yes
Alistar	Blackfrost Alistar	13	3/5/2020	1350	54	Alistar_22	
Alistar	Lunar Beast Alistar	14	2/4/2021	1350	55	Alistar_29	
Amumu	Original Amumu	0	6/25/2009	260	56	Amumu_0	
Amumu	Pharaoh Amumu	1	2/2/2010	520	57	Amumu_1	
Amumu	Vancouver Amumu	2	2/12/2010	520	58	Amumu_2	
Amumu	Emumu	3	8/1/2010	520	59	Amumu_3	
Amumu	Re-Gifted Amumu	4	12/14/2010	520	60	Amumu_4	
Amumu	Almost-Prom King Amumu	5	2/7/2011	520	61	Amumu_5	
Amumu	Little Knight Amumu	6	7/18/2011	750	62	Amumu_6	
Amumu	Sad Robot Amumu	7	5/28/2012	1350	63	Amumu_7	
Amumu	Surprise Party Amumu	8	3/31/2015	1350	64	Amumu_8	
Amumu	Infernal Amumu	9	10/16/2018	1350	65	Amumu_17	
Amumu	Hextech Amumu	10	9/26/2019	special	66	Amumu_23	
Amumu	Pumpkin Prince Amumu	11	10/22/2020	1350	67	Amumu_24	
Amumu	Porcelain Amumu		1/26/2022	1350		Amumu_34	
Anivia	Original Anivia	0	7/9/2009	790	68	Anivia_0	
Anivia	Team Spirit Anivia	1	2/12/2010	520	69	Anivia_1	
Anivia	Bird of Prey Anivia	2	5/2/2010	520	70	Anivia_2	
Anivia	Noxus Hunter Anivia	3	8/24/2010	520	71	Anivia_3	
Anivia	Hextech Anivia	4	3/1/2011	750	72	Anivia_4	
Anivia	Blackfrost Anivia	5	4/29/2013	1820	73	Anivia_5	
Anivia	Prehistoric Anivia	6	6/14/2015	750	74	Anivia_6	
Anivia	Festival Queen Anivia	7	2/23/2017	975	75	Anivia_7	
Anivia	Papercraft Anivia	8	2/21/2019	1350	76	Anivia_8	
Anivia	Cosmic Flight Anivia	9	11/24/2020	1350	77	Anivia_17	
Anivia	Divine Phoenix Anivia		9/2/2021	1350		Anivia_27	
Annie	Original Annie	0	2/21/2009	260	79	Annie_0	
Annie	Goth Annie	1	10/27/2009	special	80	Annie_1	
Annie	Red Riding Annie	2	4/27/2010	520	81	Annie_2	
Annie	Annie in Wonderland	3	8/16/2010	1820	82	Annie_3	
Annie	Prom Queen Annie	4	2/7/2011	520	83	Annie_4	
Annie	Frostfire Annie	5	5/24/2011	975	84	Annie_5	
Annie	Reverse Annie	6	9/6/2011	975	85	Annie_6	
Annie	FrankenTibbers Annie	7	10/19/2011	975	86	Annie_7	
Annie	Panda Annie	8	2/8/2013	975	87	Annie_8	
Annie	Sweetheart Annie	9	2/13/2015	750	88	Annie_9	
Annie	Hextech Annie	10	3/15/2016	special	89	Annie_10	
Annie	Super Galaxy Annie	11	10/16/2017	1350	90	Annie_11	
Annie	Annie-Versary	12	10/27/2019	special	91	Annie_12	
Annie	Lunar Beast Annie	13	2/4/2021	1350	92	Annie_13	
Annie	Cafe Cuties Annie		12/2/2021	1350		Annie_22	
Aphelios	Original Aphelios	0	12/11/2019	975	93	Aphelios_0	
Aphelios	Nightbringer Aphelios	1	12/11/2019	1350	94	Aphelios_1	
Aphelios	Lunar Beast Aphelios	2	2/4/2021	1350	95	Aphelios_9	
Ashe	Original Ashe	0	2/21/2009	260	96	Ashe_0	
Ashe	Freljord Ashe	1	11/20/2009	520	97	Ashe_1	
Ashe	Sherwood Forest Ashe	2	4/8/2010	520	98	Ashe_2	
Ashe	Woad Ashe	3	7/18/2010	520	99	Ashe_3	
Ashe	Queen Ashe	4	9/21/2010	975	100	Ashe_4	
Ashe	Amethyst Ashe	5	11/15/2011	975	101	Ashe_5	
Ashe	Heartseeker Ashe	6	2/14/2014	975	102	Ashe_6	
Ashe	Marauder Ashe	7	2/17/2015	750	103	Ashe_7	
Ashe	PROJECT: Ashe	8	8/1/2016	1820	104	Ashe_8	
Ashe	Championship Ashe	9	9/12/2017	1350	105	Ashe_9	yes
Ashe	Cosmic Queen Ashe	10	8/21/2018	1350	106	Ashe_11	
Ashe	High Noon Ashe	11	10/10/2019	1820	107	Ashe_17	
Ashe	Fae Dragon Ashe	12	10/1/2020	1350	108	Ashe_23	
Ashe	Coven Ashe	13	8/12/2021	1350	109	Ashe_32	
Aurelion Sol	Original Aurelion Sol	0	3/24/2016	975	110	AurelionSol_0	
Aurelion Sol	Ashen Lord Aurelion Sol	1	3/24/2016	1350	111	AurelionSol_1	
Aurelion Sol	Mecha Aurelion Sol	2	8/16/2018	1350	112	AurelionSol_2	
Aurelion Sol	Storm Dragon Aurelion Sol	3	10/1/2020	1350	113	AurelionSol_11	
Azir	Original Azir	0	9/15/2014	975	114	Azir_0	
Azir	Galactic Azir	1	9/15/2014	975	115	Azir_1	
Azir	Gravelord Azir	2	12/1/2015	1350	116	Azir_2	
Azir	SKT T1 Azir	3	8/17/2016	975	117	Azir_3	yes
Azir	Warring Kingdoms Azir	4	1/19/2017	1350	118	Azir_4	
Azir	Elderwood Azir	5	12/10/2020	1350	119	Azir_5	
Bard	Original Bard	0	3/12/2015	975	120	Bard_0	
Bard	Elderwood Bard	1	3/12/2015	975	121	Bard_1	
Bard	Snow Day Bard	2	12/10/2015	1350	122	Bard_5	
Bard	Bard Bard	3	11/17/2016	750	123	Bard_6	
Bard	Astronaut Bard	4	5/28/2020	1350	124	Bard_8	
Bard	Cafe Cuties Bard		12/2/2021	1350		Bard_17	
Blitzcrank	Original Blitzcrank	0	9/1/2009	790	125	Blitzcrank_0	
Blitzcrank	Rusty Blitzcrank	1	11/20/2009	520	126	Blitzcrank_1	
Blitzcrank	Goalkeeper Blitzcrank	2	6/24/2010	520	127	Blitzcrank_2	
Blitzcrank	Boom Boom Blitzcrank	3	8/29/2010	520	128	Blitzcrank_3	
Blitzcrank	Piltover Customs Blitzcrank	4	3/7/2011	1350	129	Blitzcrank_4	
Blitzcrank	Definitely Not Blitzcrank	5	10/19/2011	975	130	Blitzcrank_5	
Blitzcrank	iBlitzcrank	6	3/1/2013	1350	131	Blitzcrank_6	
Blitzcrank	Riot Blitzcrank	7	10/21/2013	975	132	Blitzcrank_7	
Blitzcrank	Battle Boss Blitzcrank	8	8/19/2015	1350	133	Blitzcrank_11	
Blitzcrank	Lancer Paragon Blitzcrank	9	11/16/2017	1350	134	Blitzcrank_20	
Blitzcrank	Lancer Rogue Blitzcrank	10	11/16/2017	1350	135	Blitzcrank_21	
Blitzcrank	Witch's Brew Blitzcrank	11	10/24/2019	1350	136	Blitzcrank_22	
Blitzcrank	Space Groove Blitz & Crank	12	4/1/2021	1820	137	Blitzcrank_29	
Blitzcrank	Victorious Blitzcrank		11/16/2021	special		Blitzcrank_36	
Brand	Original Brand	0	4/12/2011	880	138	Brand_0	
Brand	Apocalyptic Brand	1	4/12/2011	750	139	Brand_1	
Brand	Vandal Brand	2	4/12/2011	520	140	Brand_2	
Brand	Cryocore Brand	3	10/5/2011	975	141	Brand_3	
Brand	Zombie Brand	4	10/26/2012	1820	142	Brand_4	
Brand	Spirit Fire Brand	5	10/21/2015	1350	143	Brand_5	
Brand	Battle Boss Brand	6	8/8/2017	1350	144	Brand_6	
Brand	Arclight Brand	7	3/7/2019	1350	145	Brand_7	
Brand	Eternal Dragon Brand	8	10/1/2020	1350	146	Brand_8	
Brand	Debonair Brand		12/9/2021	1350		Brand_21	
Brand	Debonair Brand Prestige Edition		12/9/2021	special		Brand_22	
Braum	Original Braum	0	5/11/2014	975	147	Braum_0	
Braum	Dragonslayer Braum	1	5/11/2014	975	148	Braum_1	
Braum	El Tigre Braum	2	1/21/2015	1350	149	Braum_2	
Braum	Braum Lionheart	3	12/7/2015	750	150	Braum_3	
Braum	Santa Braum	4	12/14/2016	1350	151	Braum_10	
Braum	Crime City Braum	5	8/23/2018	1350	152	Braum_11	
Braum	Sugar Rush Braum	6	12/17/2019	1350	153	Braum_24	
Braum	Pool Party Braum	7	6/9/2021	1350	154	Braum_33	
Caitlyn	Original Caitlyn	0	1/4/2011	880	155	Caitlyn_0	
Caitlyn	Resistance Caitlyn	1	1/4/2011	520	156	Caitlyn_1	
Caitlyn	Sheriff Caitlyn	2	1/4/2011	520	157	Caitlyn_2	
Caitlyn	Safari Caitlyn	3	5/10/2011	975	158	Caitlyn_3	
Caitlyn	Arctic Warfare Caitlyn	5	12/29/2011	750	160	Caitlyn_4	
Caitlyn	Officer Caitlyn	4	10/5/2011	975	159	Caitlyn_5	
Caitlyn	Headhunter Caitlyn	6	9/3/2014	975	161	Caitlyn_6	
Caitlyn	Lunar Wraith Caitlyn	7	1/27/2016	1350	162	Caitlyn_10	
Caitlyn	Pulsefire Caitlyn	8	5/24/2017	1820	163	Caitlyn_11	
Caitlyn	Pool Party Caitlyn	9	8/2/2018	1350	164	Caitlyn_13	
Caitlyn	Arcade Caitlyn	10	6/28/2019	1350	165	Caitlyn_19	
Caitlyn	Arcade Caitlyn Prestige Edition	11	6/28/2019	special	166	Caitlyn_20	
Caitlyn	Battle Academia Caitlyn	12	3/18/2021	1820	167	Caitlyn_22	
Caitlyn	Arcane Caitlyn		11/22/2021	975		Caitlyn_28	
Camille	Original Camille	0	12/7/2016	975	168	Camille_0	
Camille	Program Camille	1	12/12/2016	1350	169	Camille_1	
